"Year","Name","Location","Country","Elevation","Type","Volcano Explosivity Index (VEI)","DEATHS"
1727,"Oraefajokull","Iceland-SE","Iceland",2119,"Stratovolcano",4,3
1729,"Bardarbunga","Iceland-NE","Iceland",2000,"Stratovolcano",1,
1729,"Krafla","Iceland-NE","Iceland",650,"Caldera",2,
1730,"Lanzarote","Canary Is","Spain",670,"Fissure vent",2,
1730,"Raung","Java","Indonesia",3332,"Stratovolcano",3,
1730,"Tseax River Cone","Canada","Canada",609,"Pyroclastic cone",,
1737,"Vesuvius","Italy","Italy",1281,"Complex volcano",2,2
1741,"Oshima-Oshima","Hokkaido-Japan","Japan",737,"Stratovolcano",4,
1742,"Cotopaxi","Ecuador","Ecuador",5911,"Stratovolcano",3,
1742,"Cotopaxi","Ecuador","Ecuador",5911,"Stratovolcano",3,
1749,"Taal","Luzon-Philippines","Philippines",400,"Stratovolcano",3,
1753,"Grimsvotn","Iceland-NE","Iceland",1725,"Caldera",2,
1754,"Taal","Luzon-Philippines","Philippines",400,"Stratovolcano",4,12
1755,"Katla","Iceland-S","Iceland",1512,"Subglacial volcano",4,2
1757,"San Jorge","Azores","Portugal",1053,"Fissure vent",0,
1760,"Makian","Halmahera-Indonesia","Indonesia",1357,"Stratovolcano",4,2000
1762,"Kliuchevskoi","Kamchatka","Russia",4835,"Stratovolcano",2,
1766,"Hekla","Iceland-S","Iceland",1491,"Stratovolcano",4,
1766,"Mayon","Luzon-Philippines","Philippines",2462,"Stratovolcano",3,49
1768,"Cotopaxi","Ecuador","Ecuador",5911,"Stratovolcano",4,
1772,"Gamalama","Halmahera-Indonesia","Indonesia",1715,"Stratovolcano",3,35
1772,"Papandayan","Java","Indonesia",2665,"Stratovolcano",3,2957
1773,"Gamalama","Halmahera-Indonesia","Indonesia",1715,"Stratovolcano",2,
1775,"Gamalama","Halmahera-Indonesia","Indonesia",1715,"Stratovolcano",3,1300
1775,"Lokon-Empung","Sulawesi-Indonesia","Indonesia",1580,"Stratovolcano",3,
1778,"Raikoke","Kuril Is","Russia",551,"Stratovolcano",4,15
1779,"Vesuvius","Italy","Italy",1281,"Complex volcano",2,
1779,"Sakura-jima","Kyushu-Japan","Japan",1117,"Stratovolcano",4,153
1780,"Sakura-jima","Kyushu-Japan","Japan",1117,"Stratovolcano",4,
1780,"Aoga-shima","Izu Is-Japan","Japan",423,"Stratovolcano",3,7
1780,"Sakura-jima","Kyushu-Japan","Japan",1117,"Stratovolcano",4,
1780,"Sakura-jima","Kyushu-Japan","Japan",1117,"Stratovolcano",,
1781,"Sakura-jima","Kyushu-Japan","Japan",1117,"Stratovolcano",4,23
1783,"Asama","Honshu-Japan","Japan",2560,"Complex volcano",4,1491
1784,"Grimsvotn","Iceland-NE","Iceland",1725,"Caldera",4,9350
1784,"Sabancaya","Peru","Peru",5967,"Stratovolcano",,
1785,"Aoga-shima","Izu Is-Japan","Japan",423,"Stratovolcano",3,135
1786,"Dieng Volc Complex","Java","Indonesia",2565,"Complex volcano",2,38
1789,"Oshima","Izu Is-Japan","Japan",758,"Stratovolcano",2,
1790,"Kilauea","Hawaiian Is","United States",1222,"Shield volcano",4,5405
1792,"Unzen","Kyushu-Japan","Japan",1500,"Complex volcano",2,
1794,"Vesuvius","Italy","Italy",1281,"Complex volcano",3,400
1800,"San Jorge","Azores","Portugal",1053,"Fissure vent",1,9
1800,"Guntur","Java","Indonesia",2249,"Complex volcano",,
1800,"Mayon","Luzon-Philippines","Philippines",2462,"Stratovolcano",2,
1800,"Kieyo","Africa-E","Tanzania",2175,"Stratovolcano",2,
1800,"Hualalai","Hawaiian Is","United States",2523,"Shield volcano",0,2
1801,"Chokai","Honshu-Japan","Japan",2237,"Stratovolcano",2,8
1803,"Asama","Honshu-Japan","Japan",2560,"Complex volcano",2,
1803,"Asama","Honshu-Japan","Japan",2560,"Complex volcano",2,
1804,"Shikotsu","Hokkaido-Japan","Japan",1320,"Caldera",3,
1805,"Vesuvius","Italy","Italy",1281,"Complex volcano",2,4
1812,"Soufriere St. Vincent","W Indies","St. Vincent & the Grenadines",1220,"Stratovolcano",4,56
1812,"Awu","Sangihe Is-Indonesia","Indonesia",1320,"Stratovolcano",3,953
1814,"Mayon","Luzon-Philippines","Philippines",2462,"Stratovolcano",4,1200
1815,"Tambora","Lesser Sunda Is","Indonesia",2850,"Stratovolcano",7,10000
1816,"Aso","Kyushu-Japan","Japan",1592,"Caldera",2,1
1817,"Ijen","Java","Indonesia",2799,"Stratovolcano",2,
1817,"Raung","Java","Indonesia",3332,"Stratovolcano",4,
1818,"Colima","Mexico","Mexico",3850,"Stratovolcano",4,
1819,"Asuncion","Mariana Is-C Pacific","United States",857,"Stratovolcano",,
1820,"Westdahl","Aleutian Is","United States",1654,"Stratovolcano",2,
1820,"Banda Api","Banda Sea","Pacific Ocean",640,"Caldera",2,
1822,"Usu","Hokkaido-Japan","Japan",731,"Stratovolcano",4,50
1822,"Galunggung","Java","Indonesia",2168,"Stratovolcano",5,4011
1822,"Merapi","Java","Indonesia",2947,"Stratovolcano",3,100
1823,"Kilauea","Hawaiian Is","United States",1222,"Shield volcano",0,
1824,"Shishaldin","Aleutian Is","United States",2857,"Stratovolcano",3,
1825,"Balbi","Bougainville-SW Paci","Papua New Guinea",2715,"Stratovolcano",,
1826,"Dieng Volc Complex","Java","Indonesia",2565,"Complex volcano",2,
1826,"Kelut","Java","Indonesia",1731,"Stratovolcano",3,
1826,"Aso","Kyushu-Japan","Japan",1592,"Caldera",2,
1827,"Avachinsky","Kamchatka","Russia",2741,"Stratovolcano",2,
1827,"Avachinsky","Kamchatka","Russia",2741,"Stratovolcano",2,
1829,"Guntur","Java","Indonesia",2249,"Complex volcano",2,
1832,"Etna","Italy","Italy",3350,"Stratovolcano",2,
1832,"Merapi","Java","Indonesia",2947,"Stratovolcano",3,32
1833,"Kaba","Sumatra","Indonesia",1952,"Stratovolcano",2,126
1835,"Cosiguina","Nicaragua","Nicaragua",872,"Stratovolcano",5,
1835,"Banda Api","Banda Sea","Pacific Ocean",640,"Caldera",,
1837,"Peuet Sague","Sumatra","Indonesia",2801,"Complex volcano",,
1838,"Gamalama","Halmahera-Indonesia","Indonesia",1715,"Stratovolcano",2,4
1839,"Unnamed","Chile-Is","Chile",-642,"Submarine volcano",2,
1840,"Gamalama","Halmahera-Indonesia","Indonesia",1715,"Stratovolcano",2,
1840,"Kilauea","Hawaiian Is","United States",1222,"Shield volcano",0,
1840,"Tinakula","Santa Cruz Is-SW Pac","Solomon Is.",851,"Stratovolcano",3,
1840,"Savo","Solomon Is-SW Pacifi","Solomon Is.",510,"Stratovolcano",3,
1841,"Kuchinoerabu-jima","Ryukyu Is","Japan",649,"Stratovolcano",2,
1843,"Liamuiga","W Indies","St. Kitts & Nevis",1156,"Stratovolcano",0,
1843,"Soufriere Guadeloupe","W Indies","Guadeloupe",1467,"Stratovolcano",,
1843,"Lamongan","Java","Indonesia",1651,"Stratovolcano",2,4
1843,"Etna","Italy","Italy",3350,"Stratovolcano",2,56
1845,"Soputan","Sulawesi-Indonesia","Indonesia",1784,"Stratovolcano",2,
1845,"Ruiz","Colombia","Colombia",5321,"Stratovolcano",2,1000
1845,"Hekla","Iceland-S","Iceland",1491,"Stratovolcano",4,
1846,"Tangkubanparahu","Java","Indonesia",2084,"Stratovolcano",2,
1846,"E-san","Hokkaido-Japan","Japan",618,"Stratovolcano",1,
1847,"Fogo","Cape Verde Is","Cape Verde",2829,"Stratovolcano",2,
1847,"Dieng Volc Complex","Java","Indonesia",2565,"Complex volcano",2,
1848,"Kelut","Java","Indonesia",1731,"Stratovolcano",2,21
1850,"Rabaul","New Britain-SW Pac","Papua New Guinea",688,"Pyroclastic shield",2,
1853,"Niuafo'ou","Tonga-SW Pacific","Tonga",260,"Shield volcano",0,25
1853,"Mayon","Luzon-Philippines","Philippines",2462,"Stratovolcano",3,34
1853,"Unnamed","Taiwan-E of","Taiwan",0,"Submarine volcano",2,
1854,"Shiveluch","Kamchatka","Russia",3283,"Stratovolcano",5,
1854,"Aso","Kyushu-Japan","Japan",1592,"Caldera",2,3
1856,"Awu","Sangihe Is-Indonesia","Indonesia",1320,"Stratovolcano",3,2806
1856,"Shishaldin","Aleutian Is","United States",2857,"Stratovolcano",,
1856,"Komaga-take","Hokkaido-Japan","Japan",1140,"Stratovolcano",4,20
1857,"Umboi","New Guinea-NE of","Papua New Guinea",1548,"Complex volcano",,
1858,"Mayon","Luzon-Philippines","Philippines",2462,"Stratovolcano",2,
1860,"Semeru","Java","Indonesia",3676,"Stratovolcano",2,
1860,"Fuego","Guatemala","Guatemala",3763,"Stratovolcano",2,
1861,"Dubbi","Africa-NE","Eritrea",1625,"Stratovolcano",3,106
1861,"Grimsvotn","Iceland-NE","Iceland",1725,"Caldera",2,
1861,"Makian","Halmahera-Indonesia","Indonesia",1357,"Stratovolcano",4,326
1863,"Yasur","Vanuatu-SW Pacific","Vanuatu",361,"Stratovolcano",,
1864,"Kelut","Java","Indonesia",1731,"Stratovolcano",2,54
1866,"Ofu-Olosega","Samoa-SW Pacific","United States",639,"Shield volcano",2,
1867,"Zao","Honshu-Japan","Japan",1841,"Complex volcano",2,3
1868,"Mauna Loa","Hawaiian Is","United States",4170,"Shield volcano",2,
1868,"Etna","Italy","Italy",3350,"Stratovolcano",,
1869,"Lewotobi","Lesser Sunda Is","Indonesia",1703,"Stratovolcano",2,2
1869,"Lamongan","Java","Indonesia",1651,"Stratovolcano",2,8
1870,"Ruang","Sangihe Is-Indonesia","Indonesia",725,"Stratovolcano",2,
1870,"Iliwerung","Lesser Sunda Is","Indonesia",1018,"Complex volcano",3,
1870,"Aoba","Vanuatu-SW Pacific","Vanuatu",1496,"Shield volcano",2,
1871,"Ruang","Sangihe Is-Indonesia","Indonesia",725,"Stratovolcano",2,
1871,"Hibok-Hibok","Mindanao-Philippines","Philippines",1332,"Stratovolcano",2,
1871,"Gamalama","Halmahera-Indonesia","Indonesia",1715,"Stratovolcano",2,1
1871,"Mayon","Luzon-Philippines","Philippines",2462,"Stratovolcano",3,3
1872,"Vesuvius","Italy","Italy",1281,"Complex volcano",3,9
1872,"Merapi","Java","Indonesia",2947,"Stratovolcano",4,200
