,Age,dTS,CO2
60,118396,-1.456774193548387,273.8
61,119273,-1.4,272.0
62,120002,-0.9288524590163935,265.2
63,120652,0.05280701754385965,277.7
64,121961,0.5027272727272727,272.2
65,122606,0.25875000000000004,276.5
66,123815,0.7181818181818181,268.7
67,123858,0.66,266.6
68,124306,0.5254545454545454,266.3
69,124571,0.6347272727272727,279.8
70,124723,0.6,273.0
71,124876,0.2767857142857143,277.2
72,125746,0.44333333333333336,273.8
73,126023,0.4163157894736842,267.1
74,126475,0.9087272727272727,262.5
75,126809,1.943076923076923,262.6
76,127445,2.3970000000000002,275.4
77,127808,2.574,275.6
78,128300,2.7296,274.1
79,128399,3.16875,287.1
80,128652,2.1007692307692305,286.8
81,129007,1.459622641509434,282.7
82,129411,1.1516666666666666,264.1
83,129755,1.958076923076923,263.4
84,130106,1.7996153846153846,257.9
85,130167,1.4233333333333333,259.0
86,130992,-0.5561290322580645,264.6
87,131661,-1.500909090909091,245.0
88,131789,-1.5502985074626865,240.4
89,132067,-2.5591666666666666,228.9
90,132818,-3.0613698630136987,223.5
91,133334,-3.8274358974358975,224.0
92,133366,-3.9094871794871797,220.3
93,133636,-3.481842105263158,210.6
94,134205,-5.504318181818182,208.9
95,134362,-5.94054945054945,203.7
96,135003,-6.881237113402062,204.6
97,135172,-7.231999999999999,200.4
98,135271,-7.399405940594059,198.0
99,135683,-7.08734693877551,198.1
100,135976,-7.185899999999999,201.8
101,136099,-7.4952,200.7
102,136359,-7.415490196078432,202.5
103,136659,-7.388019801980198,195.9
104,136743,-7.62576923076923,201.1
105,137383,-7.876,194.4
106,137694,-7.503398058252427,193.4
107,137986,-8.577857142857143,194.2
108,138226,-9.15391304347826,190.2
109,139445,-8.472321428571428,192.3
110,139851,-8.464910714285715,196.5
111,141256,-8.352252252252253,195.6
112,141312,-8.316936936936937,196.5
113,142357,-8.332252252252252,190.4
114,145435,-8.287500000000001,197.0
115,149157,-7.5698165137614675,203.0
116,150303,-7.395045871559633,191.9
117,150423,-6.995140186915887,188.9
118,151854,-7.833628318584071,200.6
119,154471,-7.716902654867257,189.0
120,155299,-8.064786324786326,185.5
121,155707,-8.045593220338983,187.5
122,160494,-6.788198198198199,204.4
123,161037,-7.237894736842105,196.5
124,162996,-6.6492035398230085,191.6
125,163522,-6.85,190.1
126,164341,-8.390708661417323,186.7
127,165278,-8.29432,183.8
128,166299,-8.358110236220472,196.5
129,169870,-6.861111111111112,197.9
130,172596,-7.54776,197.8
131,174617,-6.003565217391304,196.0
132,175440,-7.02,190.3
133,176030,-7.2230952380952385,189.4
134,176271,-7.511860465116278,190.1
135,178550,-8.151167883211679,207.7
136,180779,-5.64,213.2
137,181617,-6.728629032258064,217.7
138,182447,-7.546962962962962,198.1
139,183355,-8.211888111888111,199.8
140,185063,-8.085106382978722,203.5
141,187199,-7.2732846715328465,210.7
142,189335,-6.650149253731343,231.4
143,191057,-3.797699115044248,231.5
144,191592,-5.5324,220.3
145,192632,-6.002558139534884,218.0
146,195123,-5.034193548387097,226.5
147,195625,-5.723076923076923,220.1
148,197567,-4.8572,226.4
149,198442,-3.7920689655172413,241.2
150,199025,-3.0808035714285715,242.6
151,202212,-1.8829245283018867,251.0
152,203191,-1.9530841121495326,239.1
153,204283,-2.8576724137931033,247.7
154,205148,-3.614262295081967,244.4
155,205435,-3.6394262295081967,231.9
156,205715,-4.25546875,232.2
157,206119,-4.966296296296297,228.7
158,206672,-4.630227272727273,226.3
159,207029,-4.363846153846154,229.4
160,207412,-4.487251908396947,231.4
161,207991,-4.06921875,238.2
